id,name,country,coord
78713,Al Maudah,YE,"{'lon': 45.387321, 'lat': 14.21055}"
78742,Al Munirah,YE,"{'lon': 42.929359, 'lat': 15.32024}"
78754,Al Mukalla,YE,"{'lon': 49.124241, 'lat': 14.54248}"
78776,Al Misrakh,YE,"{'lon': 44.020432, 'lat': 13.46059}"
78814,Al Milah,YE,"{'lon': 44.825562, 'lat': 13.42611}"
78823,Al Mighlaf,YE,"{'lon': 43.18914, 'lat': 15.2871}"
78905,Markaz al Marir,YE,"{'lon': 43.59547, 'lat': 13.98178}"
78909,Al Marawiah,YE,"{'lon': 43.153912, 'lat': 14.83069}"
78929,Al Mansuriyah,YE,"{'lon': 43.299221, 'lat': 14.6856}"
78931,Al Mansurah,YE,"{'lon': 44.981659, 'lat': 12.86019}"
78964,Al Makhadir,YE,"{'lon': 44.19796, 'lat': 14.12224}"
78966,Al Makdash,YE,"{'lon': 46.650002, 'lat': 14.18333}"
78977,Al Mahwit,YE,"{'lon': 43.544811, 'lat': 15.47007}"
78991,Al Mahfid,YE,"{'lon': 46.91328, 'lat': 14.05847}"
79006,Al Mahabishah,YE,"{'lon': 43.435871, 'lat': 15.94758}"
79050,Al Luhayyah,YE,"{'lon': 42.690929, 'lat': 15.70309}"
79088,Kirsh,YE,"{'lon': 44.490459, 'lat': 13.36473}"
79131,Al Khawkhah,YE,"{'lon': 43.249298, 'lat': 13.8071}"
79133,Al Khasamah,YE,"{'lon': 44.102188, 'lat': 15.32345}"
79219,Al Jurbah,YE,"{'lon': 45.158939, 'lat': 13.7915}"
79284,Al Jarrahi,YE,"{'lon': 43.388451, 'lat': 14.13254}"
79384,Al Husayn,YE,"{'lon': 44.76886, 'lat': 13.79199}"
79393,Huraydah,YE,"{'lon': 48.182781, 'lat': 15.59861}"
79415,Al Hudaydah,YE,"{'lon': 42.954521, 'lat': 14.79781}"
79416,Muḩāfaz̧at al Ḩudaydah,YE,"{'lon': 43.192791, 'lat': 14.91732}"
79455,Al Hazm,YE,"{'lon': 44.77692, 'lat': 16.164061}"
79478,Al Qatn,YE,"{'lon': 48.455559, 'lat': 15.84056}"
79531,Al Harf,YE,"{'lon': 44.094212, 'lat': 16.363951}"
79561,Al Ḩamzāt,YE,"{'lon': 43.73333, 'lat': 16.966669}"
79609,Hajar al Mushaikh,YE,"{'lon': 47.833328, 'lat': 16.133329}"
79657,Al Ḩabīt,YE,"{'lon': 43.799999, 'lat': 14.75}"
79700,Al Ghayzah,YE,"{'lon': 52.176048, 'lat': 16.20787}"
79737,Al Fujayr,YE,"{'lon': 48.799999, 'lat': 15.96667}"
79836,Al Bayda,YE,"{'lon': 45.57272, 'lat': 13.98523}"
79838,Muḩāfaz̧at al Bayḑā’,YE,"{'lon': 45.394421, 'lat': 14.34166}"
79845,Al Batinah,YE,"{'lon': 48.433331, 'lat': 15.48333}"
79967,Al Aqir,YE,"{'lon': 45.91156, 'lat': 14.56816}"
80105,Ahwar,YE,"{'lon': 46.713669, 'lat': 13.52019}"
80309,Ad Durayhimi,YE,"{'lon': 43.05505, 'lat': 14.63702}"
80331,Ad Dis ash Sharqiyah,YE,"{'lon': 49.947781, 'lat': 14.90806}"
80336,Ad Dimnah,YE,"{'lon': 44.181679, 'lat': 13.45398}"
80379,Ad Dann,YE,"{'lon': 43.852749, 'lat': 14.3518}"
80383,Az Zaliah,YE,"{'lon': 48.01667, 'lat': 15.01667}"
80384,Dhalie,YE,"{'lon': 44.731369, 'lat': 13.69572}"
80393,Dhahi,YE,"{'lon': 43.06974, 'lat': 15.21467}"
80412,Muḩāfaz̧at ‘Adan,YE,"{'lon': 44.916672, 'lat': 12.83333}"
80425,Muḩāfaz̧at Abyan,YE,"{'lon': 46.125999, 'lat': 13.6291}"
80509,Al Bardīyah,LY,"{'lon': 25.086531, 'lat': 31.756149}"
81302,Tobruk,LY,"{'lon': 23.976391, 'lat': 32.083611}"
81604,Qaryat Sulūq,LY,"{'lon': 20.25205, 'lat': 31.66818}"
85820,Kamb al ‘Ajjāj,LY,"{'lon': 20.25659, 'lat': 32.097271}"
86049,Gialo,LY,"{'lon': 21.549999, 'lat': 29.033331}"
87204,Darnah,LY,"{'lon': 22.533331, 'lat': 32.049999}"
87205,Darnah,LY,"{'lon': 22.63669, 'lat': 32.76704}"
88319,Benghazi,LY,"{'lon': 20.066669, 'lat': 32.116669}"
